social_site,date,number_results,error
truth_social,2021-12-21,0,NA
gettr,2021-12-21,102,NA
parler,2021-12-21,12,NA
gab,2021-12-21,160,NA
telegram,2021-12-22,16,NA
truth_social,2021-12-22,0,NA
gettr,2021-12-22,64,NA
parler,2021-12-22,26,NA
gab,2021-12-22,122,NA
telegram,2021-12-23,23,NA
truth_social,2021-12-23,0,NA
gettr,2021-12-23,52,NA
parler,2021-12-23,21,NA
gab,2021-12-23,88,NA
telegram,2021-12-24,18,NA
truth_social,2021-12-24,0,NA
gettr,2021-12-24,54,NA
parler,2021-12-24,27,NA
gab,2021-12-24,91,NA
telegram,2021-12-25,9,NA
truth_social,2021-12-25,0,NA
gettr,2021-12-25,59,NA
parler,2021-12-25,18,NA
gab,2021-12-25,121,NA
telegram,2021-12-26,6,NA
truth_social,2021-12-26,0,NA
gettr,2021-12-26,33,NA
parler,2021-12-26,11,NA
gab,2021-12-26,79,NA
telegram,2021-12-27,15,NA
truth_social,2021-12-27,0,NA
gettr,2021-12-27,65,NA
parler,2021-12-27,12,NA
gab,2021-12-27,58,NA
telegram,2021-12-28,24,NA
truth_social,2021-12-28,0,NA
gettr,2021-12-28,89,NA
parler,2021-12-28,11,NA
gab,2021-12-28,83,NA
telegram,2021-12-29,8,NA
truth_social,2021-12-29,0,NA
gettr,2021-12-29,51,NA
parler,2021-12-29,46,NA
gab,2021-12-29,72,NA
telegram,2021-12-30,13,NA
truth_social,2021-12-30,0,NA
gettr,2021-12-30,99,NA
parler,2021-12-30,31,NA
gab,2021-12-30,126,NA
telegram,2021-12-31,12,NA
truth_social,2021-12-31,0,NA
gettr,2021-12-31,90,NA
parler,2021-12-31,21,NA
gab,2021-12-31,174,NA
telegram,2022-01-01,29,NA
truth_social,2022-01-01,0,NA
gettr,2022-01-01,144,NA
parler,2022-01-01,27,NA
gab,2022-01-01,183,NA
telegram,2022-01-02,24,NA
truth_social,2022-01-02,0,NA
gettr,2022-01-02,201,NA
parler,2022-01-02,32,NA
gab,2022-01-02,216,NA
telegram,2022-01-03,41,NA
truth_social,2022-01-03,0,NA
gettr,2022-01-03,195,NA
parler,2022-01-03,33,NA
gab,2022-01-03,267,NA
telegram,2022-01-04,10,NA
truth_social,2022-01-04,0,NA
gettr,2022-01-04,142,NA
parler,2022-01-04,32,NA
gab,2022-01-04,147,NA
telegram,2022-01-05,22,NA
truth_social,2022-01-05,0,NA
gettr,2022-01-05,274,NA
parler,2022-01-05,34,NA
gab,2022-01-05,161,NA
telegram,2022-01-06,43,NA
truth_social,2022-01-06,0,NA
gettr,2022-01-06,432,NA
parler,2022-01-06,63,NA
gab,2022-01-06,282,NA
telegram,2022-01-07,29,NA
truth_social,2022-01-07,0,NA
gettr,2022-01-07,262,NA
parler,2022-01-07,38,NA
gab,2022-01-07,285,NA
telegram,2022-01-08,20,NA
truth_social,2022-01-08,0,NA
gettr,2022-01-08,151,NA
parler,2022-01-08,32,NA
gab,2022-01-08,163,NA
telegram,2022-01-09,70,NA
truth_social,2022-01-09,0,NA
gettr,2022-01-09,309,NA
parler,2022-01-09,41,NA
gab,2022-01-09,162,NA
telegram,2022-01-10,42,NA
truth_social,2022-01-10,0,NA
gettr,2022-01-10,351,NA
parler,2022-01-10,29,NA
gab,2022-01-10,204,NA
telegram,2022-01-11,22,NA
truth_social,2022-01-11,0,NA
gettr,2022-01-11,305,NA
parler,2022-01-11,38,NA
gab,2022-01-11,233,NA
